,rnd0
0,31
1,84
2,212
3,40
4,23
5,216
6,28
7,33
8,8
9,182
10,115
11,167
12,288
13,98
14,181
15,13
16,175
17,168
18,121
19,318
20,73
21,294
22,322
23,102
24,159
25,293
26,14
27,2
28,86
29,257
30,11
31,189
32,27
33,305
34,220
35,249
36,309
37,280
38,195
39,58
40,46
41,145
42,200
43,12
44,183
45,213
46,142
47,350
48,255
49,63
50,41
51,127
52,331
53,18
54,172
55,286
56,235
57,266
58,329
59,334
60,45
61,39
62,239
63,226
64,203
65,357
66,307
67,16
68,15
69,79
70,72
71,340
72,61
73,154
74,148
75,282
76,295
77,192
78,150
79,354
80,242
81,147
82,188
83,193
84,210
85,138
86,169
87,105
88,246
89,91
90,256
91,271
92,26
93,250
94,64
95,332
96,326
97,163
98,268
99,62
100,214
101,109
102,55
103,143
104,60
105,99
106,283
107,343
108,153
109,260
110,198
111,132
112,1
113,278
114,133
115,162
116,17
117,89
118,297
119,88
120,254
121,171
122,262
123,80
124,303
125,205
126,219
127,81
128,152
129,6
130,185
131,229
132,298
133,53
134,97
135,111
136,328
137,290
138,321
139,9
140,274
141,56
142,347
143,240
144,243
145,238
146,335
147,315
148,263
149,137
150,199
151,265
152,74
153,336
154,42
155,323
156,10
157,277
158,49
159,24
160,83
161,20
162,93
163,176
164,107
165,247
166,320
167,222
168,348
169,134
170,7
171,227
172,325
173,289
174,118
175,313
176,355
177,146
178,333
179,304
180,296
181,224
182,225
183,22
184,310
185,275
186,76
187,221
188,201
189,144
190,104
191,35
192,54
193,0
194,308
195,261
196,114
197,78
198,208
199,140
200,32
201,90
202,129
203,292
204,77
205,108
206,21
207,136
208,66
209,128
210,117
211,57
212,100
213,177
214,317
215,358
216,173
217,230
218,269
219,338
220,351
221,330
222,174
223,68
224,209
225,231
226,96
227,92
228,236
229,312
230,223
231,234
232,306
233,337
234,276
235,245
236,206
237,252
238,342
239,5
240,253
241,267
242,264
243,359
244,194
245,119
246,139
247,207
248,178
249,170
250,211
251,116
252,281
253,82
254,259
255,30
256,353
257,113
258,248
259,110
260,87
261,356
262,352
263,141
264,228
265,272
266,120
267,122
268,197
269,160
270,29
271,59
272,103
273,319
274,36
275,344
276,156
277,158
278,270
279,126
280,258
281,131
282,285
283,299
284,196
285,311
286,215
287,125
288,244
289,301
290,69
291,124
292,316
293,65
294,149
295,300
296,34
297,191
298,50
299,25
300,75
301,43
302,346
303,95
304,94
305,161
306,287
307,165
308,302
309,284
310,314
311,190
312,341
313,166
314,180
315,106
316,51
317,204
318,291
319,44
320,19
321,47
322,218
323,345
324,130
325,327
326,123
327,324
328,52
329,339
330,186
331,187
332,38
333,85
334,179
335,48
336,217
337,155
338,232
339,279
340,233
341,157
342,184
343,37
344,112
345,71
346,151
347,4
348,349
349,101
350,202
351,251
352,67
353,3
354,237
355,70
356,135
357,241
358,273
359,164
