,rnd0
0,92
1,971
2,1169
3,1437
4,1349
5,1261
6,1546
7,1168
8,37
9,1598
10,204
11,1580
12,396
13,242
14,97
15,1404
16,724
17,1325
18,955
19,607
20,1299
21,1127
22,1539
23,506
24,1099
25,686
26,17
27,469
28,1422
29,1007
30,1129
31,989
32,479
33,1711
34,1120
35,1244
36,1730
37,1032
38,524
39,1259
40,1305
41,345
42,1501
43,1061
44,894
45,1103
46,630
47,1338
48,1031
49,122
50,293
51,642
52,592
53,1151
54,1204
55,974
56,515
57,357
58,377
59,1043
60,151
61,175
62,1691
63,907
64,1353
65,190
66,1256
67,159
68,52
69,699
70,196
71,552
72,1513
73,1630
74,1146
75,302
76,826
77,946
78,1414
79,129
80,327
81,853
82,1610
83,1067
84,250
85,1690
86,116
87,776
88,869
89,737
90,384
91,1662
92,1689
93,1449
94,258
95,1520
96,84
97,1113
98,945
99,1482
100,388
101,926
102,641
103,1248
104,632
105,1452
106,512
107,667
108,665
109,1484
110,1505
111,643
112,1648
113,866
114,658
115,14
116,954
117,286
118,310
119,1102
120,1312
121,1719
122,397
123,375
124,1179
125,401
126,708
127,1074
128,745
129,1674
130,625
131,1443
132,760
133,128
134,811
135,1104
136,230
137,865
138,483
139,875
140,876
141,227
142,289
143,1094
144,50
145,1594
146,988
147,240
148,1205
149,586
150,1372
151,455
152,1195
153,1091
154,817
155,1009
156,1485
157,842
158,1713
159,301
160,274
161,1755
162,22
163,1401
164,1111
165,1696
166,912
167,102
168,501
169,1048
170,671
171,928
172,1075
173,132
174,977
175,442
176,805
177,1666
178,311
179,591
180,814
181,918
182,1562
183,964
184,1062
185,596
186,1467
187,1725
188,959
189,485
190,573
191,257
192,509
193,1615
194,1389
195,1478
196,208
197,25
198,738
199,980
200,104
201,968
202,952
203,1601
204,1386
205,992
206,1474
207,1257
208,546
209,956
210,1073
211,463
212,1148
213,809
214,75
215,313
216,2
217,713
218,1187
219,1448
220,470
221,185
222,82
223,771
224,1469
225,1265
226,61
227,722
228,1354
229,505
230,364
231,33
232,428
233,532
234,603
235,127
236,687
237,751
238,822
239,41
240,340
241,77
242,15
243,460
244,1314
245,1110
246,1494
247,1160
248,1130
249,1460
250,411
251,1511
252,1188
253,1418
254,1183
255,1528
256,827
257,1639
258,1166
259,1058
260,1017
261,1242
262,910
263,533
264,1526
265,538
266,1504
267,761
268,816
269,1027
270,590
271,819
272,897
273,527
274,604
275,1682
276,1153
277,1351
278,298
279,215
280,1746
281,534
282,1356
283,1405
284,1544
285,987
286,484
287,149
288,700
289,12
290,1714
291,709
292,330
293,1709
294,748
295,332
296,1128
297,730
298,1161
299,1732
300,1260
301,445
302,408
303,795
304,1432
305,1549
306,720
307,352
308,1521
309,7
310,1236
311,887
312,288
313,98
314,1512
315,970
316,1141
317,304
318,456
319,1420
320,765
321,1726
322,1029
323,562
324,1126
325,356
326,787
327,513
328,915
329,237
330,529
331,782
332,1177
333,376
334,877
335,507
336,1402
337,186
338,1115
339,1542
340,769
341,1021
342,349
343,197
344,852
345,1628
