,rnd1
0,32
1,234
2,91
3,157
4,18
5,158
6,216
7,186
8,94
9,43
10,85
11,141
12,143
13,11
14,82
15,6
16,190
17,231
18,4
19,184
20,135
21,131
22,100
23,99
24,165
25,21
26,73
27,238
28,23
29,187
30,130
31,78
32,244
33,112
34,204
35,122
36,124
37,142
38,14
39,126
40,20
41,46
42,123
43,196
44,137
45,199
46,38
47,1
48,148
49,51
50,27
51,7
52,189
53,245
54,30
55,93
56,233
57,67
58,171
59,223
60,117
61,101
62,170
63,54
64,0
65,227
66,83
67,79
68,71
69,103
70,208
71,222
72,182
73,31
74,195
75,104
76,128
77,34
78,239
79,174
80,177
81,214
82,218
83,166
84,3
85,89
86,160
87,74
88,105
89,2
90,44
91,149
92,154
93,80
94,28
95,229
96,26
97,110
98,55
99,207
100,163
101,111
102,58
103,25
104,16
105,92
106,164
107,252
108,144
109,194
110,24
111,19
112,179
113,114
114,84
115,237
116,193
117,251
118,253
119,134
120,53
121,108
122,64
123,213
124,129
125,61
126,159
127,36
128,70
129,13
130,224
131,98
132,40
133,209
134,45
135,62
136,49
137,60
138,176
139,118
140,63
141,52
142,106
143,120
144,145
145,175
146,241
147,139
148,65
149,235
150,220
151,42
152,72
153,39
154,29
155,254
156,200
157,236
158,161
159,76
160,87
161,151
162,225
163,203
164,59
165,243
166,8
167,146
168,153
169,35
170,191
171,96
172,181
173,168
174,178
175,249
176,140
177,41
178,147
179,155
180,215
181,17
182,127
183,197
184,230
185,136
186,221
187,121
188,173
189,226
190,88
191,56
192,77
193,68
194,202
195,107
196,206
197,188
198,250
199,156
200,212
201,201
202,57
203,152
204,172
205,102
206,81
207,162
208,211
209,240
210,50
211,12
212,15
213,22
214,247
215,33
216,9
217,109
218,69
219,5
220,228
221,10
222,138
223,150
224,217
225,205
226,47
227,198
228,242
229,95
230,125
231,113
232,97
233,86
234,119
235,133
236,232
237,48
238,246
239,66
240,90
241,219
242,167
243,169
244,116
245,132
246,185
247,210
248,248
249,183
250,75
251,192
252,115
253,37
254,180
