,rnd4
0,262
1,276
2,54
3,164
4,155
5,89
6,242
7,10
8,76
9,149
10,294
11,229
12,239
13,26
14,186
15,224
16,111
17,199
18,120
19,3
20,135
21,171
22,51
23,55
24,269
25,25
26,100
27,278
28,67
29,212
30,108
31,146
32,13
33,92
34,44
35,151
36,236
37,141
38,62
39,218
40,125
41,238
42,112
43,17
44,45
45,247
46,137
47,226
48,197
49,259
50,183
51,188
52,118
53,115
54,254
55,203
56,281
57,210
58,161
59,106
60,74
61,6
62,49
63,53
64,267
65,219
66,158
67,21
68,272
69,232
70,134
71,50
72,109
73,160
74,57
75,98
76,277
77,153
78,275
79,194
80,131
81,297
82,16
83,231
84,110
85,124
86,159
87,0
88,130
89,121
90,220
91,36
92,78
93,292
94,250
95,144
96,299
97,221
98,246
99,97
100,225
101,133
102,70
103,179
104,287
105,101
106,252
107,96
108,22
109,29
110,180
111,251
112,234
113,201
114,263
115,245
116,283
117,72
118,126
119,166
120,43
121,293
122,143
123,69
124,138
125,170
126,240
127,31
128,119
129,271
130,40
131,200
132,1
133,122
134,39
135,162
136,193
137,73
138,148
139,79
140,59
141,284
142,248
143,105
144,227
145,32
146,64
147,11
148,71
149,187
150,279
151,215
152,156
153,241
154,217
155,83
156,264
157,189
158,48
159,244
160,47
161,33
162,142
163,104
164,129
165,184
166,157
167,34
168,56
169,7
170,136
171,77
172,233
173,139
174,58
175,99
176,127
177,214
178,152
179,66
180,23
181,177
182,222
183,37
184,265
185,282
186,85
187,237
188,204
189,285
190,30
191,140
192,176
193,163
194,60
195,195
196,116
197,91
198,206
199,75
200,172
201,208
202,288
203,38
204,258
205,103
206,207
207,169
208,268
209,165
210,216
211,286
212,173
213,2
214,19
215,168
216,87
217,198
218,107
219,117
220,202
221,88
222,15
223,154
224,255
225,196
226,42
227,290
228,270
229,113
230,61
231,289
232,27
233,261
234,46
235,182
236,81
237,90
238,228
239,211
240,4
241,80
242,223
243,249
244,296
245,280
246,145
247,205
248,82
249,63
250,65
251,191
252,253
253,273
254,175
255,132
256,41
257,8
258,86
259,147
260,291
261,295
262,174
263,298
264,95
265,235
266,213
267,20
268,123
269,274
270,5
271,185
272,102
273,18
274,12
275,167
276,230
277,52
278,28
279,192
280,266
281,150
282,84
283,24
284,256
285,14
286,35
287,114
288,243
289,209
290,68
291,181
292,93
293,9
294,178
295,94
296,257
297,190
298,260
299,128
